TagName,Count,LaunchYear,Trajectory
python,2200000,2008,rising
javascript,2100000,2008,stable
java,1800000,2008,stable
sql,650000,2008,stable
c#,1500000,2008,stable
php,1400000,2008,declining
html,1100000,2008,stable
css,800000,2008,stable
react,450000,2015,rising
node.js,400000,2011,rising
typescript,380000,2016,rising
c++,780000,2008,stable
android,1000000,2010,declining
mysql,650000,2008,stable
postgresql,280000,2010,rising
pandas,280000,2012,rising
numpy,200000,2012,stable
tensorflow,160000,2017,rising
docker,200000,2015,rising
git,300000,2010,stable
linux,500000,2008,stable
aws,250000,2014,rising
r,430000,2009,stable
swift,280000,2015,rising
kotlin,180000,2017,rising
go,150000,2015,rising
rust,90000,2018,rising
django,300000,2010,stable
flask,200000,2011,stable
machine-learning,230000,2013,rising
deep-learning,110000,2016,rising
data-science,140000,2014,rising
excel,500000,2008,stable
bash,300000,2008,stable
mongodb,200000,2013,stable
redis,130000,2014,stable
kubernetes,120000,2018,rising
spark,100000,2015,stable
scikit-learn,90000,2014,rising
