Id,DisplayName,Reputation,Tier,CreationDate,Location,UpVotes,DownVotes,GoldBadges,SilverBadges,BronzeBadges,LastAccessDate
1,mason_zhang228,397,beginner,2015-02-10,Bangladesh,49,2,0,0,7,2018-05-22
2,codeer8945,375,beginner,2015-06-14,China,55,7,0,0,7,2017-05-31
3,bytewizard498,391,beginner,2017-06-28,South Korea,64,7,0,0,7,2020-12-16
4,hackhacker9873,21,beginner,2017-09-26,United Kingdom,66,4,0,0,0,2018-01-19
5,hacker8938,6,beginner,2019-08-07,,42,5,0,0,0,2022-09-30
6,mason_smith777,164,beginner,2009-11-08,United States,63,9,0,0,3,2016-06-19
7,user_7,156,beginner,2022-02-11,United States,39,2,0,0,3,2022-05-23
8,techmaster5524,703,beginner,2008-12-08,Australia,42,4,0,1,14,2010-03-09
9,byteninja5891,6,beginner,2011-06-30,,43,8,0,0,0,2017-05-19
10,user_10,101,beginner,2019-07-16,United States,63,5,0,0,2,2020-10-17
11,user_11,5,beginner,2012-02-27,India,53,4,0,0,0,2017-10-30
12,user_12,107,beginner,2016-11-05,,48,7,0,0,2,2019-12-04
13,user_13,218,beginner,2010-04-30,China,46,11,0,0,4,2022-02-08
14,user_14,30,beginner,2020-03-06,India,50,8,0,0,0,2021-08-21
15,user_15,128,beginner,2012-06-09,Japan,50,5,0,0,2,2016-07-02
16,sophia_mueller81,11,beginner,2009-09-17,Germany,46,7,0,0,0,2015-01-19
17,user_17,7,beginner,2009-08-19,India,42,7,0,0,0,2015-03-10
18,priya_kumar379,24,beginner,2010-07-17,Canada,47,8,0,0,0,2010-08-22
19,user_19,83,beginner,2018-10-28,India,56,3,0,0,1,2023-02-14
20,user_20,32,beginner,2008-12-06,France,55,4,0,0,0,2010-11-25
21,asyncguru8761,130,beginner,2016-10-30,India,52,5,0,0,2,2017-06-09
22,wei_mueller947,17,beginner,2017-08-11,Germany,66,6,0,0,0,2019-06-10
23,user_23,241,beginner,2012-11-05,Australia,45,5,0,0,4,2023-12-12
24,user_24,127,beginner,2017-02-06,China,42,7,0,0,2,2023-04-13
25,emma_patel410,55,beginner,2012-05-02,United States,49,5,0,0,1,2023-09-15
26,hackstack5165,33,beginner,2014-04-16,Brazil,56,5,0,0,0,2022-08-02
27,algocoder7527,36,beginner,2008-06-06,Japan,40,4,0,0,0,2013-01-20
28,techmaster9207,6,beginner,2009-12-31,Bangladesh,49,6,0,0,0,2011-04-15
29,user_29,13,beginner,2009-07-09,United States,56,8,0,0,0,2015-08-06
30,user_30,58,beginner,2008-05-08,Bangladesh,53,6,0,0,1,2009-07-10
31,user_31,30,beginner,2012-12-23,Netherlands,56,4,0,0,0,2016-11-26
32,algoninja781,133,beginner,2011-10-30,United States,52,3,0,0,2,2015-07-03
33,ava_kim610,61,beginner,2011-10-15,Spain,52,4,0,0,1,2022-04-28
34,bytestack7678,18,beginner,2008-01-16,India,44,6,0,0,0,2018-01-03
35,user_35,36,beginner,2019-08-20,,59,5,0,0,0,2019-10-23
36,olivia_nguyen768,54,beginner,2022-01-10,Germany,61,6,0,0,1,2022-03-02
37,asyncgeek1837,26,beginner,2018-11-29,United States,56,5,0,0,0,2021-06-14
38,techdev63,24,beginner,2010-07-08,Brazil,56,10,0,0,0,2015-05-13
39,user_39,80,beginner,2019-07-25,United Kingdom,52,4,0,0,1,2020-02-16
40,stackguru8327,22,beginner,2011-12-04,Australia,42,5,0,0,0,2020-05-29
41,user_41,144,beginner,2012-06-16,India,59,6,0,0,2,2014-04-01
42,asynchacker9987,153,beginner,2019-10-22,United States,42,3,0,0,3,2023-09-14
