tag,total_q,total_views,views_per_q,answered,accepted,answer_rate_pct,accept_of_answered_pct,avg_score
javascript,54912,158624754471.0,2888708.0,45056,18847,82.1,41.8,115929.19
python,52546,126884960922.0,2414741.0,43047,18165,81.9,42.2,4744.61
java,48029,90035440481.0,1874606.0,39214,16333,81.6,41.7,127654.22
sql,18641,10448267023.0,560499.0,15287,6410,82.0,41.9,962.73
django,8143,5395403837.0,662582.0,6646,2831,81.6,42.6,1135.5
postgresql,6105,1087941597.0,178205.0,4942,2058,81.0,41.6,214.89
flask,4913,4630965806.0,942594.0,4014,1771,81.7,44.1,443.38
react,4513,4036237747.0,894358.0,3704,1582,82.1,42.7,2211.79
machine-learning,3350,2868953444.0,856404.0,2727,1205,81.4,44.2,262.67
typescript,3019,1342954565.0,444834.0,2467,1026,81.7,41.6,292.14
docker,2078,849626576.0,408867.0,1725,721,83.0,41.8,711.21
go,1605,492544034.0,306881.0,1316,573,82.0,43.5,3344.17
kubernetes,575,113379321.0,197181.0,467,215,81.2,46.0,121.92
rust,439,62755768.0,142952.0,364,153,82.9,42.0,11788.46
