tag,total_answered,self_answered_count,self_answer_rate_pct,avg_q_score,avg_views
rust,364,1.0,0.3,1281.82,170054.0
machine-learning,2727,7.0,0.3,271.06,1036004.0
flask,4014,9.0,0.2,509.35,858085.0
go,1316,2.0,0.2,4057.48,327732.0
python,43047,34.0,0.1,5474.64,545448.0
react,3704,2.0,0.1,2088.17,1043070.0
docker,1725,2.0,0.1,589.04,489040.0
javascript,45056,37.0,0.1,139813.02,887463.0
typescript,2467,3.0,0.1,81.03,508296.0
django,6646,7.0,0.1,1281.22,724736.0
postgresql,4942,3.0,0.1,204.34,166895.0
java,39214,34.0,0.1,155814.15,2256785.0
sql,15287,21.0,0.1,1098.59,447131.0
kubernetes,467,0.0,0.0,133.79,232924.0
